STATION,STATION_NAME,DATE,HPCP
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130101 01:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130105 23:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130106 00:00,1
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130106 01:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130106 02:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130109 15:00,1
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130109 16:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130111 08:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130111 11:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130111 12:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130111 13:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130111 14:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130111 15:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130111 16:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130111 17:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130111 18:00,1
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130111 19:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130111 20:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130113 11:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130113 12:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130113 13:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130113 14:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130113 15:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130113 16:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130113 17:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130113 18:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130113 19:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130113 20:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130113 21:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130113 22:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130113 23:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130114 05:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130114 06:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130114 07:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130114 08:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130114 16:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130114 17:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130114 21:00,2
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130114 22:00,2
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130114 23:00,3
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 00:00,2
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 01:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 02:00,14
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 03:00,14
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 04:00,2
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 05:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 07:00,1
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 08:00,3
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 09:00,2
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 10:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 11:00,1
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 12:00,1
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 13:00,1
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 14:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 15:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 16:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 17:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 18:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 19:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 20:00,5
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130115 21:00,9
