tmc_code,measurement_tstamp,speed,average_speed,reference_speed,travel_time_minutes,confidence_score,cvalue
110N04161,6/1/13 12:00,36.8,45,47,0.04,30,75.2
110-10237,6/1/13 12:00,26.33,26,32,0.14,20.67,6.67
110-05756,6/1/13 12:00,33.8,35,38,0.8,30,100
110P04645,6/1/13 12:00,64.6,59,61,0.74,30,100
110P04161,6/1/13 12:00,42.13,42,42,0.03,20.67,6.67
110+04131,6/1/13 12:00,44.27,37,47,0.01,30,68.8
110+04614,6/1/13 12:00,64.73,61,62,0.13,30,93.93
110+04303,6/1/13 12:00,55.2,57,60,0.09,26,60
110N04645,6/1/13 12:00,64.07,58,62,0.57,30,82.27
110+10238,6/1/13 12:00,30.73,30,32,0.12,27.33,73.33
110P04131,6/1/13 12:00,41.33,39,47,0.63,30,100
110-05754,6/1/13 12:00,36.2,30,36,0.36,30,97.33
110N04131,6/1/13 12:00,43.6,49,52,0.56,30,100
110+05757,6/1/13 12:00,36.6,35,38,0.73,30,100
110+05755,6/1/13 12:00,24,25,34,0.55,30,100
110-04614,6/1/13 12:00,63.8,59,64,0.16,30,98.93
110+04303,6/1/13 12:15,55.2,57,60,0.09,30,87.87
110-10237,6/1/13 12:15,31,26,32,0.12,30,100
110N04645,6/1/13 12:15,62.47,58,62,0.59,30,93.27
110-05754,6/1/13 12:15,32.33,30,36,0.41,30,98.87
110P04131,6/1/13 12:15,29.2,39,47,0.89,30,79.93
110+05755,6/1/13 12:15,27.47,25,34,0.48,30,100
110+10238,6/1/13 12:15,30.47,30,32,0.12,24.67,46.67
110P04161,6/1/13 12:15,47.13,42,42,0.03,30,85.13
110+05757,6/1/13 12:15,35,35,38,0.76,28.67,86.67
110P04645,6/1/13 12:15,62.13,59,61,0.77,30,100
110-05756,6/1/13 12:15,34.47,35,38,0.78,30,100
110N04161,6/1/13 12:15,47.6,45,47,0.03,30,100
110-04614,6/1/13 12:15,61.67,59,64,0.16,30,100
110N04131,6/1/13 12:15,42.2,49,52,0.58,30,97
110+04614,6/1/13 12:15,66.93,61,62,0.13,30,78.47
110+04131,6/1/13 12:15,29.6,37,47,0.02,30,41.93
110+10238,6/1/13 12:30,30,30,32,0.12,20,0
110-10237,6/1/13 12:30,27.67,26,32,0.13,23.33,33.33
110+05755,6/1/13 12:30,24.07,25,34,0.55,30,100
110+04131,6/1/13 12:30,33.8,37,47,0.01,30,51.47
110+05757,6/1/13 12:30,35.93,35,38,0.74,30,100
110-05756,6/1/13 12:30,35.2,35,38,0.77,30,100
110P04131,6/1/13 12:30,34.87,39,47,0.74,30,100
110-05754,6/1/13 12:30,32.67,30,36,0.4,30,98.53
110+04303,6/1/13 12:30,58.07,57,60,0.09,30,100
110+04614,6/1/13 12:30,62.13,61,62,0.14,30,100
110P04161,6/1/13 12:30,44.07,42,42,0.03,30,93.33
110N04645,6/1/13 12:30,64.27,58,62,0.57,30,91.67
110N04161,6/1/13 12:30,43,45,47,0.03,30,100
110P04645,6/1/13 12:30,61.47,59,61,0.78,30,100
110-04614,6/1/13 12:30,60.87,59,64,0.16,30,100
110N04131,6/1/13 12:30,50.13,49,52,0.49,30,100
110+04303,6/1/13 12:45,57.2,57,60,0.09,25.33,53.33
110N04645,6/1/13 12:45,69.47,58,62,0.53,30,62.27
110N04161,6/1/13 12:45,45,45,47,0.03,27.33,73.33
110-10237,6/1/13 12:45,26,26,32,0.14,20,0
110-04614,6/1/13 12:45,62.73,59,64,0.16,30,97.2
110P04131,6/1/13 12:45,44.2,39,47,0.59,30,100
110-05754,6/1/13 12:45,36,30,36,0.37,30,91.07
110P04645,6/1/13 12:45,61.8,59,61,0.78,30,100
110-05756,6/1/13 12:45,30.53,35,38,0.88,30,87.4
110+04131,6/1/13 12:45,45.53,37,47,0.01,30,97
110+05755,6/1/13 12:45,19.2,25,34,0.69,30,100
110P04161,6/1/13 12:45,41.53,42,42,0.03,22.67,26.67
110+04614,6/1/13 12:45,62.67,61,62,0.14,30,100
110+10238,6/1/13 12:45,30,30,32,0.12,20,0
110N04131,6/1/13 12:45,50,49,52,0.49,30,100
110+05757,6/1/13 12:45,36.13,35,38,0.74,30,100
110-05754,6/1/13 13:00,36.93,30,36,0.36,30,84.4
110-05756,6/1/13 13:00,32.27,35,38,0.84,30,84
110+04614,6/1/13 13:00,61.8,58,62,0.14,30,99.73
110-04614,6/1/13 13:00,63.07,58,64,0.16,30,98.13
110N04645,6/1/13 13:00,62.6,58,62,0.59,30,98.13
110-10237,6/1/13 13:00,26,26,32,0.14,20,0
110N04131,6/1/13 13:00,52,48,52,0.47,30,81.6
110+10238,6/1/13 13:00,30,30,32,0.12,20,0
110N04161,6/1/13 13:00,43.87,44,47,0.03,22.67,26.67
110P04131,6/1/13 13:00,38.6,37,47,0.67,30,100
110+04303,6/1/13 13:00,56.47,58,60,0.09,30,100
110+04131,6/1/13 13:00,40.33,34,47,0.01,30,91.13
110P04645,6/1/13 13:00,64.93,59,61,0.74,30,100
110+05755,6/1/13 13:00,27.53,23,34,0.48,30,100
110P04161,6/1/13 13:00,41.13,41,42,0.03,30,75
110+05757,6/1/13 13:00,38,35,38,0.7,30,100
110N04161,6/1/13 13:15,42.73,44,47,0.03,30,100
110+04131,6/1/13 13:15,35.8,34,47,0.01,30,90.93
110P04161,6/1/13 13:15,36.33,41,42,0.04,30,64.4
110+05755,6/1/13 13:15,19.73,23,34,0.67,30,100
110-05756,6/1/13 13:15,40.4,35,38,0.67,28.67,73.33
110P04645,6/1/13 13:15,62.4,59,61,0.77,30,100
110-05754,6/1/13 13:15,35.53,30,36,0.37,30,99.13
110+05757,6/1/13 13:15,35,35,38,0.76,30,100
110+10238,6/1/13 13:15,28.4,30,32,0.13,28,73.33
110N04645,6/1/13 13:15,61.27,58,62,0.6,30,100
110+04614,6/1/13 13:15,62.53,58,62,0.14,30,100
110P04131,6/1/13 13:15,43.47,37,47,0.6,30,100
110-04614,6/1/13 13:15,63.27,58,64,0.16,30,100
110N04131,6/1/13 13:15,48.07,48,52,0.51,30,100
110+04303,6/1/13 13:15,55.33,58,60,0.09,30,100
110-10237,6/1/13 13:15,26,26,32,0.14,20,0
110+10238,6/1/13 13:30,29.47,30,32,0.12,22.67,26.67
110+04131,6/1/13 13:30,40.53,34,47,0.01,30,81.33
110+04303,6/1/13 13:30,54.07,58,60,0.09,30,100
110P04645,6/1/13 13:30,64.33,59,61,0.75,30,100
110-10237,6/1/13 13:30,26,26,32,0.14,20,0
110+04614,6/1/13 13:30,59.4,58,62,0.15,30,100
110-04614,6/1/13 13:30,61.47,58,64,0.16,30,100
110P04131,6/1/13 13:30,40.67,37,47,0.64,30,93.6
110-05756,6/1/13 13:30,35.4,35,38,0.76,30,100
110N04645,6/1/13 13:30,59.93,58,62,0.61,30,100
110N04131,6/1/13 13:30,49.8,48,52,0.49,30,96.8
110N04161,6/1/13 13:30,43,44,47,0.03,30,100
110+05757,6/1/13 13:30,43,35,38,0.62,30,61.93
110-05754,6/1/13 13:30,32.8,30,36,0.4,30,98.2
110P04161,6/1/13 13:30,42.73,41,42,0.03,30,94.67
110+05755,6/1/13 13:30,23.73,23,34,0.56,30,100
110+10238,6/1/13 13:45,30,30,32,0.12,20,0
110+04614,6/1/13 13:45,61.2,58,62,0.14,30,100
110+05755,6/1/13 13:45,32.2,23,34,0.41,30,100
110P04161,6/1/13 13:45,39.27,41,42,0.03,28.67,86.67
110-10237,6/1/13 13:45,26,26,32,0.14,20,0
110N04131,6/1/13 13:45,50.33,48,52,0.48,30,100
110P04131,6/1/13 13:45,39.4,37,47,0.66,30,74.2
110-04614,6/1/13 13:45,63.4,58,64,0.16,30,100
110+04303,6/1/13 13:45,56.2,58,60,0.09,30,100
110P04645,6/1/13 13:45,63.67,59,61,0.75,30,100
110-05756,6/1/13 13:45,34.73,35,38,0.78,30,100
110N04161,6/1/13 13:45,43.47,44,47,0.03,30,100
110+04131,6/1/13 13:45,29.2,34,47,0.02,30,56.47
110N04645,6/1/13 13:45,60.87,58,62,0.6,30,100
110+05757,6/1/13 13:45,43.4,35,38,0.61,29.33,54.6
110-05754,6/1/13 13:45,35.87,30,36,0.37,30,100
110N04645,6/1/13 14:00,62.53,58,62,0.59,30,93.67
110-10237,6/1/13 14:00,28,28,32,0.13,20,0
110P04131,6/1/13 14:00,31.07,39,47,0.83,30,75.47
110-04614,6/1/13 14:00,63.73,59,64,0.16,30,100
110+04303,6/1/13 14:00,57.6,58,60,0.09,26.67,66.67
110+10238,6/1/13 14:00,31.33,30,32,0.11,23.33,33.33
110+04614,6/1/13 14:00,60.93,60,62,0.14,30,100
110N04161,6/1/13 14:00,38.87,45,47,0.04,30,100
110+05755,6/1/13 14:00,28.27,22,34,0.47,30,100
110N04131,6/1/13 14:00,48.73,48,52,0.5,30,100
110P04645,6/1/13 14:00,64.2,60,61,0.75,30,98.87
110-05756,6/1/13 14:00,35,35,38,0.77,30,100
110P04161,6/1/13 14:00,39.8,41,42,0.03,25.33,53.33
110-05754,6/1/13 14:00,34.53,31,36,0.38,30,71.2
110+05757,6/1/13 14:00,34.2,35,38,0.78,30,100
110+04131,6/1/13 14:00,28.87,36,47,0.02,30,100
110P04161,6/1/13 14:15,41.73,41,42,0.03,30,100
110+04614,6/1/13 14:15,63.87,60,62,0.14,30,100
110P04131,6/1/13 14:15,32.4,39,47,0.8,30,76.93
110N04645,6/1/13 14:15,62.87,58,62,0.58,30,97.87
110+05755,6/1/13 14:15,20.2,22,34,0.65,30,100
110P04645,6/1/13 14:15,67.73,60,61,0.71,30,83.47
110-05756,6/1/13 14:15,36.53,35,38,0.74,30,100
110N04161,6/1/13 14:15,35.13,45,47,0.04,30,100
110+04131,6/1/13 14:15,24.53,36,47,0.02,30,79.47
110-04614,6/1/13 14:15,66.67,59,64,0.15,30,73.8
110N04131,6/1/13 14:15,49.4,48,52,0.49,30,100
110-10237,6/1/13 14:15,28,28,32,0.13,20,0
110-05754,6/1/13 14:15,35.4,31,36,0.37,30,100
110+05757,6/1/13 14:15,35.4,35,38,0.75,29.33,93.33
110+04303,6/1/13 14:15,59.33,58,60,0.09,30,100
110+10238,6/1/13 14:15,34.93,30,32,0.1,29.33,93.33
110N04161,6/1/13 14:30,46,45,47,0.03,30,100
110-04614,6/1/13 14:30,64.07,59,64,0.16,30,100
110P04131,6/1/13 14:30,45.47,39,47,0.57,30,96.4
110-10237,6/1/13 14:30,26.53,28,32,0.13,27.33,66.67
110P04645,6/1/13 14:30,64.6,60,61,0.74,30,100
110N04131,6/1/13 14:30,48.2,48,52,0.51,30,100
110+10238,6/1/13 14:30,30,30,32,0.12,20,0
110+05757,6/1/13 14:30,36,35,38,0.74,30,100
110-05754,6/1/13 14:30,36.67,31,36,0.36,30,100
110+05755,6/1/13 14:30,23.67,22,34,0.56,30,100
110N04645,6/1/13 14:30,62.73,58,62,0.58,30,95.27
110+04614,6/1/13 14:30,60.8,60,62,0.14,30,100
110-05756,6/1/13 14:30,38.27,35,38,0.7,30,100
110+04131,6/1/13 14:30,45.13,36,47,0.01,30,100
110P04161,6/1/13 14:30,49.47,41,42,0.03,28.67,65.87
110+04303,6/1/13 14:30,57.73,58,60,0.09,22.67,26.67
110-05754,6/1/13 14:45,37.33,31,36,0.35,30,100
110+10238,6/1/13 14:45,30,30,32,0.12,20,0
110P04645,6/1/13 14:45,66.6,60,61,0.72,30,91.87
110N04131,6/1/13 14:45,47.4,48,52,0.51,30,100
110-05756,6/1/13 14:45,37.07,35,38,0.73,30,100
110P04161,6/1/13 14:45,38.47,41,42,0.03,30,94.13
110N04161,6/1/13 14:45,38.07,45,47,0.04,30,95.73
110+04614,6/1/13 14:45,58.27,60,62,0.15,30,100
110-10237,6/1/13 14:45,28.13,28,32,0.13,30,100
110+05755,6/1/13 14:45,26.2,22,34,0.5,30,100
110-04614,6/1/13 14:45,60.67,59,64,0.16,30,100
110+04131,6/1/13 14:45,45.67,36,47,0.01,30,100
110+04303,6/1/13 14:45,58,58,60,0.09,20,0
110P04131,6/1/13 14:45,44.33,39,47,0.58,30,96.4
110+05757,6/1/13 14:45,35.47,35,38,0.75,30,89.4
110N04645,6/1/13 14:45,64.93,58,62,0.56,30,87.27
110+04131,6/1/13 15:00,42.67,38,47,0.01,30,100
110P04131,6/1/13 15:00,44.93,39,47,0.58,30,90.93
110N04645,6/1/13 15:00,66.8,58,62,0.55,30,79.53
110+05755,6/1/13 15:00,19.67,20,34,0.67,30,100
110+04614,6/1/13 15:00,59.73,61,62,0.14,30,100
