STATION,STATION_NAME,DATE,HPCP
COOP:180700,BELTSVILLE MD US,20130601 01:00,99999
COOP:180700,BELTSVILLE MD US,20130701 00:00,99999
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130601 01:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130602 14:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130602 17:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130602 18:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130602 19:00,12
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130602 21:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130602 22:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130602 23:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130603 01:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130603 02:00,1
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130603 03:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130603 04:00,7
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130603 05:00,12
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130603 06:00,11
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130603 07:00,11
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130603 08:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130603 09:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130603 15:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130603 16:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130606 11:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130606 12:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130606 17:00,1
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130606 18:00,6
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130606 19:00,17
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130606 20:00,11
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130606 21:00,2
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130606 22:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130606 23:00,6
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 00:00,42
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 01:00,36
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 02:00,28
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 03:00,6
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 04:00,5
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 05:00,1
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 06:00,3
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 07:00,3
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 08:00,7
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 09:00,7
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 10:00,8
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 11:00,15
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 12:00,18
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 13:00,6
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 14:00,4
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 15:00,4
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 16:00,5
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 17:00,3
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 18:00,7
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 19:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 20:00,1
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 21:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130607 22:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130608 06:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130608 10:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130608 11:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130608 12:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130609 20:00,1
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130609 21:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130610 02:00,27
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130610 03:00,27
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130610 04:00,1
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130610 05:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130610 06:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130610 07:00,4
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130610 08:00,2
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130610 09:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130610 10:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130610 12:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130610 14:00,18
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130610 15:00,83
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130610 17:00,5
