"System","Agency","Standardized Type","Agency-specific Type","Location","County","Latitude","Longitude","Open/Closed","Time Opened","Time Closed","Duration","Operator Notes","Notifications Sent","Responders","VMS Used","Vehicles Involved","Max Lanes Closed"
"VDOT NOVA","VADOT","Collision","incident","I-95N north @ MM 142.900","Stafford","38.45474","-77.40776","Closed","9/25/14 5:55 AM","9/25/14 7:03 AM","1 hour 7 minutes","","","1","","",""
"VDOT NOVA","VADOT","Collision","incident","I-95N north @ MM 135.900","Stafford","38.367416","-77.466995","Closed","9/25/14 7:01 AM","9/25/14 7:54 AM","52 minutes","","","","","",""
"VDOT NOVA","VADOT","Collision","incident","I-66E east @ MM 57.000","Fairfax (County)","38.859276","-77.36127","Closed","9/25/14 7:15 AM","9/25/14 8:05 AM","50 minutes","","","0","","",""
"VDOT NOVA","VADOT","Collision","incident","I-95N north @ MM 130.000","Fredericksburg (City)","38.291473","-77.50681","Closed","9/25/14 10:55 AM","9/25/14 11:45 AM","50 minutes","","1","1","","",""
"VDOT NOVA","VADOT","Collision","incident","I-395N north @ MM 2.100","Fairfax (County)","38.810772","-77.14898","Closed","9/25/14 9:55 AM","9/25/14 11:10 AM","1 hour 14 minutes","","","0","","",""
"VDOT NOVA","VADOT","Collision","incident","I-66E east @ MM 60.000","Fairfax (County)","38.869198","-77.30631","Closed","9/25/14 9:28 AM","9/25/14 9:56 AM","27 minutes","","","0","","",""
"VDOT NOVA","VADOT","Collision","incident","I-66E east @ MM 62.000","Fairfax (County)","38.8777","-77.27072","Closed","9/25/14 7:01 AM","9/25/14 7:40 AM","38 minutes","","","1","","",""
"VDOT NOVA","VADOT","Collision","incident","I-95N north @ MM 152.000","Prince William","38.56904","-77.33399","Closed","9/25/14 4:59 AM","9/25/14 5:42 AM","42 minutes","","1","3","3","",""
"VDOT NOVA","VADOT","Collision","incident","I-66E east @ MM 48.200","Prince William","38.805233","-77.50229","Closed","9/25/14 6:54 AM","9/25/14 7:12 AM","18 minutes","","","0","","",""
"VDOT NOVA","VADOT","Collision","incident","I-66E east @ MM 53.000","Fairfax (County)","38.846024","-77.43393","Closed","9/25/14 9:18 AM","9/25/14 9:34 AM","16 minutes","","","0","","",""
"VDOT NOVA","VADOT","Collision","incident","I-95N north @ MM 120.900","Spotsylvania","38.16436","-77.506195","Closed","9/25/14 5:11 AM","9/25/14 6:12 AM","1 hour 1 minute","","","","","",""
"VDOT NOVA","VADOT","Collision","incident","I-66E east @ MM 71.000","Arlington","38.88387","-77.11974","Closed","9/25/14 9:16 AM","9/25/14 10:18 AM","1 hour 2 minutes","","2","3","","",""
"VDOT NOVA","VADOT","Collision","incident","I-66E east @ MM 48.000","Prince William","38.803905","-77.505646","Closed","9/25/14 7:59 AM","9/25/14 8:54 AM","54 minutes","","","0","","",""
"VDOT NOVA","VADOT","Collision","incident","I-95S south @ MM 128.000","Spotsylvania","38.262672","-77.51473","Closed","9/25/14 8:14 AM","9/25/14 8:42 AM","27 minutes","","","","","",""
"VDOT NOVA","VADOT","Collision","incident","VA-236W west @ MM 3.500","Fairfax (County)","38.839943","-77.261826","Closed","9/25/14 6:43 AM","9/25/14 8:21 AM","1 hour 38 minutes","","3","2","","",""
"VDOT NOVA","VADOT","Collision","incident","I-95N north @ MM 147.200","Stafford","38.510475","-77.37676","Closed","9/25/14 5:45 AM","9/25/14 6:24 AM","38 minutes","","2","2","","",""
"VDOT NOVA","VADOT","Collision","incident","I-95S south @ MM 136.000","Stafford","38.364807","-77.46899","Closed","9/25/14 7:55 AM","9/25/14 8:31 AM","36 minutes","","","","","",""
"VDOT NOVA","VADOT","Collision","incident","On Telegraph Road North at Hayfield Road north","Alexandria (City)","38.803326","-77.07508","Closed","9/25/14 6:51 AM","9/25/14 8:21 AM","1 hour 30 minutes","","","0","","",""
"VDOT NOVA","VADOT","Collision","incident","I-95N north @ MM 132.700","Stafford","38.32954","-77.499855","Closed","9/25/14 7:34 AM","9/25/14 8:22 AM","48 minutes","","1","1","","",""
"VDOT NOVA","VADOT","Collision","incident","I-66W west @ MM 62.000","Fairfax (County)","38.877026","-77.27617","Closed","9/25/14 6:28 AM","9/25/14 7:45 AM","1 hour 17 minutes","","1","3","","",""
"VDOT NOVA","VADOT","Collision","incident","I-95N north @ MM 173.000","Fairfax (County)","38.796776","-77.13199","Closed","9/25/14 8:53 AM","9/25/14 9:59 AM","1 hour 6 minutes","","1","1","1","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-66E east @ MM 70.900","Arlington","38.88256","-77.12094","Closed","9/25/14 5:45 AM","9/25/14 7:53 AM","2 hours 7 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-66E east @ MM 60.000","Fairfax (County)","38.869198","-77.30631","Closed","9/25/14 5:43 AM","9/25/14 6:00 AM","16 minutes","","","0","1","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-66E east @ MM 64.200","Fairfax (County)","38.882397","-77.23056","Closed","9/25/14 6:10 AM","9/25/14 6:14 AM","4 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-495N north @ MM 42.400","Fairfax (County)","38.966637","-77.17994","Closed","9/25/14 5:52 AM","9/25/14 6:05 AM","13 minutes","","1","1","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95N north @ MM 156.000","Prince William","38.616123","-77.29856","Closed","9/25/14 6:13 AM","9/25/14 6:56 AM","43 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95S south @ MM 158.600","Prince William","38.65074","-77.28326","Closed","9/25/14 6:19 AM","9/25/14 6:56 AM","36 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95S south @ MM 160.000","Prince William","38.66803","-77.269066","Closed","9/25/14 5:49 AM","9/25/14 6:55 AM","1 hour 6 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95S south @ MM 139.000","Stafford","38.397438","-77.43563","Closed","9/25/14 5:07 AM","9/25/14 5:11 AM","4 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95S south @ MM 139.700","Stafford","38.407528","-77.43113","Closed","9/25/14 5:10 AM","9/25/14 5:39 AM","29 minutes","","","","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-395N north @ MM 4.000","Alexandria (City)","38.826454","-77.120224","Closed","9/25/14 6:37 AM","9/25/14 7:15 AM","37 minutes","","","1","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95S south @ MM 158.000","Prince William","38.642685","-77.2877","Closed","9/25/14 5:36 AM","9/25/14 6:15 AM","39 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-66E east @ MM 64.000","Fairfax (County)","38.881332","-77.234055","Closed","9/25/14 5:24 AM","9/25/14 5:50 AM","26 minutes","","","1","","",""
