"System","Agency","Standardized Type","Agency-specific Type","Location","County","Latitude","Longitude","Open/Closed","Time Opened","Time Closed","Duration","Operator Notes","Notifications Sent","Responders","VMS Used","Vehicles Involved","Max Lanes Closed"
"VDOT NOVA","VADOT","Collision","incident","I-66W west @ MM 48.000","Prince William","38.803177","-77.5082","Closed","9/26/14 10:29 AM","9/26/14 11:21 AM","52 minutes","","1","1","","",""
"VDOT NOVA","VADOT","Collision","incident","I-95N north @ MM 174.000","Fairfax (County)","38.800705","-77.11505","Closed","9/26/14 9:01 AM","9/26/14 9:40 AM","39 minutes","","2","4","2","",""
"VDOT NOVA","VADOT","Collision","incident","VA-3E east @ MM 31.900","Fredericksburg (City)","38.296093","-77.50662","Closed","9/26/14 4:52 AM","9/26/14 5:23 AM","30 minutes","","1","1","","",""
"VDOT NOVA","VADOT","Collision","incident","Rt. 625E (Loudoun County) east","Loudoun","39.01104","-77.45683","Closed","9/26/14 9:33 AM","9/26/14 10:03 AM","30 minutes","","","","","",""
"VDOT NOVA","VADOT","Collision","incident","I-95S south @ MM 177.000","Alexandria (City)","38.795753","-77.060745","Closed","9/26/14 4:32 AM","9/26/14 6:41 AM","2 hours 9 minutes","","2","1","","",""
"VDOT NOVA","VADOT","Collision","incident","I-66E east @ MM 69.000","Arlington","38.884712","-77.15369","Closed","9/26/14 10:14 AM","9/26/14 12:00 PM","1 hour 46 minutes","","4","3","1","",""
"VDOT NOVA","VADOT","Collision","incident","Rt. 620E (Fairfax County) east","Fairfax (County)","38.827396","-77.316444","Closed","9/26/14 9:36 AM","9/26/14 10:09 AM","33 minutes","","","","","",""
"VDOT NOVA","VADOT","Collision","incident","I-66E east @ MM 57.000","Fairfax (County)","38.859276","-77.36127","Closed","9/26/14 7:23 AM","9/26/14 7:55 AM","31 minutes","","","1","2","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95S south @ MM 166.000","Fairfax (County)","38.728558","-77.200226","Closed","9/26/14 4:42 AM","9/26/14 5:02 AM","20 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95N north @ MM 156.000","Prince William","38.616123","-77.29856","Closed","9/26/14 4:30 AM","9/26/14 5:05 AM","35 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-395S south @ MM 2.000","Fairfax (County)","38.81062","-77.15102","Closed","9/26/14 5:17 AM","9/26/14 5:29 AM","12 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-66E east @ MM 58.300","Fairfax (County)","38.863617","-77.33751","Closed","9/26/14 4:48 AM","9/26/14 4:59 AM","11 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-66E east @ MM 54.000","Fairfax (County)","38.848972","-77.41797","Closed","9/26/14 4:57 AM","9/26/14 5:06 AM","9 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-395S south @ MM 4.600","Alexandria (City)","38.831104","-77.11081","Closed","9/26/14 4:13 AM","9/26/14 6:29 AM","2 hours 15 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95S south @ MM 162.200","Fairfax (County)","38.672688","-77.24514","Closed","9/26/14 6:10 AM","9/26/14 6:14 AM","3 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95S south @ MM 166.000","Fairfax (County)","38.728558","-77.200226","Closed","9/26/14 5:00 AM","9/26/14 6:06 AM","1 hour 6 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95N north @ MM 163.000","Fairfax (County)","38.691895","-77.226524","Closed","9/26/14 6:27 AM","9/26/14 7:00 AM","32 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95S south @ MM 162.200","Fairfax (County)","38.672688","-77.24514","Closed","9/26/14 5:21 AM","9/26/14 5:52 AM","31 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95N north @ MM 177.000","Alexandria (City)","38.79482","-77.06136","Closed","9/26/14 6:47 AM","9/26/14 6:52 AM","4 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95S south @ MM 176.400","Alexandria (City)","38.799294","-77.07102","Closed","9/26/14 6:56 AM","9/26/14 7:04 AM","8 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-395N north @ MM 4.000","Alexandria (City)","38.826454","-77.120224","Closed","9/26/14 6:58 AM","9/26/14 7:36 AM","38 minutes","","2","2","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95S south @ MM 160.000","Prince William","38.66803","-77.269066","Closed","9/26/14 4:05 AM","9/26/14 4:17 AM","11 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-66E east @ MM 67.800","Fairfax (County)","38.89533","-77.1713","Closed","9/26/14 7:27 AM","9/26/14 7:43 AM","16 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-395S south @ MM 3.000","Alexandria (City)","38.8172","-77.13463","Closed","9/26/14 6:10 AM","9/26/14 6:32 AM","22 minutes","","","1","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95N north @ MM 160.000","Prince William","38.668274","-77.267166","Closed","9/26/14 7:37 AM","9/26/14 7:41 AM","3 minutes","","","0","","",""
