tmc,Crossing,Direction,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order
110+05757,Memorial,In,ARLINGTON MEMORIAL BRIDGE,EASTBOUND,OHIO DR,DC,DISTRICT OF COLUMBIA,20024,38.885712,-77.059366,38.888589,-77.052054,0.444605,2
110-05756,Memorial,Out,ARLINGTON MEMORIAL BRIDGE,WESTBOUND,GEORGE WASHINGTON MEMORIAL PKWY,DC,DISTRICT OF COLUMBIA,20024,38.888589,-77.052054,38.886105,-77.059661,0.449154,1
110+05755,Key,In,FRANCIS SCOTT KEY BRIDGE,NORTHBOUND,WHITEHURST FWY,DC,DISTRICT OF COLUMBIA,20007,38.9008036,-77.070576,38.903799,-77.069219,0.220106,537
110-05754,Key,Out,FRANCIS SCOTT KEY BRIDGE,SOUTHBOUND,GEORGE WASHINGTON MEMORIAL PKWY,VA,ARLINGTON,22201,38.903799,-77.069219,38.9008036,-77.070576,0.220106,66
110+04130,14th_Main,In,I-395,NORTHBOUND,11TH ST/EXIT 11,VA,ARLINGTON,22202,38.8700736,-77.0462044,38.870218,-77.0460628,0.012558,21
110P04130,14th_Main,In,I-395,NORTHBOUND,11TH ST/EXIT 11,VA,ARLINGTON,22202,38.870218,-77.0460628,38.87301,-77.042441,0.277312,22
110+04131,14th_Main,In,I-395,NORTHBOUND,MEMORIAL BRIDGE,DC,DISTRICT OF COLUMBIA,20024,38.8729162,-77.0425194,38.87301,-77.042441,0.007724,23
110P04131,14th_Main,In,I-395,NORTHBOUND,MEMORIAL BRIDGE,DC,DISTRICT OF COLUMBIA,20024,38.87301,-77.042441,38.877981,-77.0375882,0.431401,24
110-04131,14th_Main,Out,I-395,SOUTHBOUND,MEMORIAL BRIDGE,DC,DISTRICT OF COLUMBIA,20024,38.8791182,-77.03893,38.878947,-77.0392408,0.020512,17
110N04131,14th_Main,Out,I-395,SOUTHBOUND,MEMORIAL BRIDGE,DC,DISTRICT OF COLUMBIA,20024,38.878947,-77.0392408,38.874251,-77.043771,0.406172,18
110-04130,14th_Main,Out,I-395,SOUTHBOUND,11TH ST/EXIT 11,VA,ARLINGTON,22202,38.8747142,-77.0434034,38.874251,-77.043771,0.037595,19
110N04130,14th_Main,Out,I-395,SOUTHBOUND,11TH ST/EXIT 11,VA,ARLINGTON,22202,38.874251,-77.043771,38.8720062,-77.045775,0.189024,20
110P04302,14th_HOV,In,I-395 HOV,NORTHBOUND,11TH ST/EXIT 11,VA,ARLINGTON,22202,38.8729448,-77.0445234,38.8730422,-77.0444322,0.008321,25
110+04303,14th_HOV,In,I-395 HOV,NORTHBOUND,MEMORIAL BRIDGE,VA,ARLINGTON,22202,38.8730422,-77.0444322,38.874045,-77.043504,0.08543,26
110-04302,14th_HOV,Out,I-395 HOV,SOUTHBOUND,11TH ST/EXIT 11,VA,ARLINGTON,22202,38.874119,-77.043607,38.873114,-77.0445276,0.085293,3
110N04302,14th_HOV,Out,I-395 HOV,SOUTHBOUND,11TH ST/EXIT 11,VA,ARLINGTON,22202,38.873114,-77.0445276,38.8730146,-77.0446208,0.008507,4
110-04161,Roosevelt,In,I-66,EASTBOUND,THEODORE ROOSEVELT MEMORIAL BRIDGE,DC,DISTRICT OF COLUMBIA,20037,38.892069,-77.0608158,38.8928746,-77.0558474,0.27359,69
110N04161,Roosevelt,In,I-66,EASTBOUND,THEODORE ROOSEVELT MEMORIAL BRIDGE,DC,DISTRICT OF COLUMBIA,20037,38.8928746,-77.0558474,38.89293,-77.055418,0.023557,70
110P04161,Roosevelt,Out,I-66,WESTBOUND,THEODORE ROOSEVELT MEMORIAL BRIDGE,DC,DISTRICT OF COLUMBIA,20037,38.8931138,-77.055532,38.892991,-77.0559002,0.021631,2
110+04162,Roosevelt,Out,I-66,WESTBOUND,US-50/ARLINGTON MEMORIAL BRIDGE,DC,DISTRICT OF COLUMBIA,20037,38.892991,-77.0559002,38.891887,-77.0626052,0.369429,3
110+10237,Chain,In,VA-120,NORTHBOUND,VA-123/CHAIN BRIDGE RD,VA,ARLINGTON,22101,38.916088,-77.136425,38.929136,-77.117659,1.552636,23
110+10238,Chain,In,VA-120,NORTHBOUND,VA--DC STATE BORDER,DC,DISTRICT OF COLUMBIA,20016,38.929136,-77.117659,38.9295392,-77.1166868,0.059574,24
110-10237,Chain,Out,VA-120,SOUTHBOUND,VA-123/CHAIN BRIDGE RD,VA,ARLINGTON,22101,38.9295392,-77.1166868,38.929136,-77.117659,0.059574,1
