"timekey","glare","glarepotential","traffic_timestamp","tmc_crossing","avg"
"44","f","TrueAM","2013-10-01 07:10:00","14th_HOV","44"
"44","f","TrueAM","2013-10-01 07:10:00","14th_Main","38.125"
"44","f","TrueAM","2013-10-01 07:10:00","Chain","30.3333333333333"
"44","f","TrueAM","2013-10-01 07:10:00","Key","28"
"44","f","TrueAM","2013-10-01 07:10:00","Memorial","36.5"
"44","f","TrueAM","2013-10-01 07:10:00","Roosevelt","40.75"
"45","f","TrueAM","2013-10-01 07:20:00","14th_HOV","44"
"45","f","TrueAM","2013-10-01 07:20:00","14th_Main","38.125"
"45","f","TrueAM","2013-10-01 07:20:00","Chain","30.3333333333333"
"45","f","TrueAM","2013-10-01 07:20:00","Key","28"
"45","f","TrueAM","2013-10-01 07:20:00","Memorial","36.5"
"45","f","TrueAM","2013-10-01 07:20:00","Roosevelt","40.75"
"46","f","TrueAM","2013-10-01 07:30:00","14th_HOV","44"
"46","f","TrueAM","2013-10-01 07:30:00","14th_Main","38.125"
"46","f","TrueAM","2013-10-01 07:30:00","Chain","30.3333333333333"
"46","f","TrueAM","2013-10-01 07:30:00","Key","28"
"46","f","TrueAM","2013-10-01 07:30:00","Memorial","36.5"
"46","f","TrueAM","2013-10-01 07:30:00","Roosevelt","40.75"
"47","f","TrueAM","2013-10-01 07:40:00","14th_HOV","44"
"47","f","TrueAM","2013-10-01 07:40:00","14th_Main","38.125"
"47","f","TrueAM","2013-10-01 07:40:00","Chain","30.3333333333333"
"47","f","TrueAM","2013-10-01 07:40:00","Key","28"
"47","f","TrueAM","2013-10-01 07:40:00","Memorial","36.5"
"47","f","TrueAM","2013-10-01 07:40:00","Roosevelt","40.75"
"48","f","TrueAM","2013-10-01 07:50:00","14th_HOV","44"
"48","f","TrueAM","2013-10-01 07:50:00","14th_Main","38.125"
"48","f","TrueAM","2013-10-01 07:50:00","Chain","30.3333333333333"
"48","f","TrueAM","2013-10-01 07:50:00","Key","28"
"48","f","TrueAM","2013-10-01 07:50:00","Memorial","36.5"
"48","f","TrueAM","2013-10-01 07:50:00","Roosevelt","40.75"
"49","f","TrueAM","2013-10-01 08:00:00","14th_HOV","40"
"49","f","TrueAM","2013-10-01 08:00:00","14th_Main","33"
"49","f","TrueAM","2013-10-01 08:00:00","Chain","25"
"49","f","TrueAM","2013-10-01 08:00:00","Key","21.5"
"49","f","TrueAM","2013-10-01 08:00:00","Memorial","36"
"49","f","TrueAM","2013-10-01 08:00:00","Roosevelt","34"
"50","f","TrueAM","2013-10-01 08:10:00","14th_HOV","40"
"50","f","TrueAM","2013-10-01 08:10:00","14th_Main","33"
"50","f","TrueAM","2013-10-01 08:10:00","Chain","25"
"50","f","TrueAM","2013-10-01 08:10:00","Key","21.5"
"50","f","TrueAM","2013-10-01 08:10:00","Memorial","36"
"50","f","TrueAM","2013-10-01 08:10:00","Roosevelt","34"
"51","f","TrueAM","2013-10-01 08:20:00","14th_HOV","40"
"51","f","TrueAM","2013-10-01 08:20:00","14th_Main","33"
"51","f","TrueAM","2013-10-01 08:20:00","Chain","25"
"51","f","TrueAM","2013-10-01 08:20:00","Key","21.5"
"51","f","TrueAM","2013-10-01 08:20:00","Memorial","36"
"51","f","TrueAM","2013-10-01 08:20:00","Roosevelt","34"
"52","f","TrueAM","2013-10-01 08:30:00","14th_HOV","40"
"52","f","TrueAM","2013-10-01 08:30:00","14th_Main","33"
"52","f","TrueAM","2013-10-01 08:30:00","Chain","25"
"52","f","TrueAM","2013-10-01 08:30:00","Key","21.5"
"52","f","TrueAM","2013-10-01 08:30:00","Memorial","36"
