timekey,timestamp10,timedate,time10,hour_stump,glare,w_temp,w_conds_std,w_wind_speed,w_gusts,w_visibility,w_precip,w_rain,w_snow,w_fog
1,10/1/2013 0:00,10/1/2013,0:00:00,0:00:00,f,,,,,,,,,
2,10/1/2013 0:10,10/1/2013,0:10:00,0:00:00,f,,,,,,,,,
3,10/1/2013 0:20,10/1/2013,0:20:00,0:00:00,f,,,,,,,,,
4,10/1/2013 0:30,10/1/2013,0:30:00,0:00:00,f,,,,,,,,,
5,10/1/2013 0:40,10/1/2013,0:40:00,0:00:00,f,,,,,,,,,
6,10/1/2013 0:50,10/1/2013,0:50:00,0:00:00,f,63,3-Cloudy,3.5,-9999,10,-9999,f,f,f
7,10/1/2013 1:00,10/1/2013,1:00:00,1:00:00,f,,,,,,,,,
8,10/1/2013 1:10,10/1/2013,1:10:00,1:00:00,f,,,,,,,,,
9,10/1/2013 1:20,10/1/2013,1:20:00,1:00:00,f,,,,,,,,,
10,10/1/2013 1:30,10/1/2013,1:30:00,1:00:00,f,,,,,,,,,
11,10/1/2013 1:40,10/1/2013,1:40:00,1:00:00,f,,,,,,,,,
12,10/1/2013 1:50,10/1/2013,1:50:00,1:00:00,f,63,3-Cloudy,4.6,-9999,10,-9999,f,f,f
13,10/1/2013 2:00,10/1/2013,2:00:00,2:00:00,f,,,,,,,,,
14,10/1/2013 2:10,10/1/2013,2:10:00,2:00:00,f,,,,,,,,,
15,10/1/2013 2:20,10/1/2013,2:20:00,2:00:00,f,,,,,,,,,
16,10/1/2013 2:30,10/1/2013,2:30:00,2:00:00,f,,,,,,,,,
17,10/1/2013 2:40,10/1/2013,2:40:00,2:00:00,f,,,,,,,,,
18,10/1/2013 2:50,10/1/2013,2:50:00,2:00:00,f,61,3-Cloudy,5.8,-9999,10,-9999,f,f,f
19,10/1/2013 3:00,10/1/2013,3:00:00,3:00:00,f,,,,,,,,,
20,10/1/2013 3:10,10/1/2013,3:10:00,3:00:00,f,,,,,,,,,
21,10/1/2013 3:20,10/1/2013,3:20:00,3:00:00,f,,,,,,,,,
22,10/1/2013 3:30,10/1/2013,3:30:00,3:00:00,f,,,,,,,,,
23,10/1/2013 3:40,10/1/2013,3:40:00,3:00:00,f,,,,,,,,,
24,10/1/2013 3:50,10/1/2013,3:50:00,3:00:00,f,60.1,3-Cloudy,4.6,-9999,10,-9999,f,f,f
25,10/1/2013 4:00,10/1/2013,4:00:00,4:00:00,f,,,,,,,,,
26,10/1/2013 4:10,10/1/2013,4:10:00,4:00:00,f,,,,,,,,,
27,10/1/2013 4:20,10/1/2013,4:20:00,4:00:00,f,,,,,,,,,
28,10/1/2013 4:30,10/1/2013,4:30:00,4:00:00,f,,,,,,,,,
29,10/1/2013 4:40,10/1/2013,4:40:00,4:00:00,f,,,,,,,,,
30,10/1/2013 4:50,10/1/2013,4:50:00,4:00:00,f,61,3-Cloudy,4.6,-9999,10,-9999,f,f,f
31,10/1/2013 5:00,10/1/2013,5:00:00,5:00:00,f,,,,,,,,,
32,10/1/2013 5:10,10/1/2013,5:10:00,5:00:00,f,,,,,,,,,
33,10/1/2013 5:20,10/1/2013,5:20:00,5:00:00,f,,,,,,,,,
34,10/1/2013 5:30,10/1/2013,5:30:00,5:00:00,f,,,,,,,,,
35,10/1/2013 5:40,10/1/2013,5:40:00,5:00:00,f,,,,,,,,,
36,10/1/2013 5:50,10/1/2013,5:50:00,5:00:00,f,61,3-Cloudy,4.6,-9999,10,-9999,f,f,f
37,10/1/2013 6:00,10/1/2013,6:00:00,6:00:00,f,,,,,,,,,
38,10/1/2013 6:10,10/1/2013,6:10:00,6:00:00,f,,,,,,,,,
39,10/1/2013 6:20,10/1/2013,6:20:00,6:00:00,f,,,,,,,,,
40,10/1/2013 6:30,10/1/2013,6:30:00,6:00:00,f,,,,,,,,,
41,10/1/2013 6:40,10/1/2013,6:40:00,6:00:00,f,,,,,,,,,
42,10/1/2013 6:50,10/1/2013,6:50:00,6:00:00,f,63,3-Cloudy,3.5,-9999,10,-9999,f,f,f
43,10/1/2013 7:00,10/1/2013,7:00:00,7:00:00,f,,,,,,,,,
44,10/1/2013 7:10,10/1/2013,7:10:00,7:00:00,t,,,,,,,,,
45,10/1/2013 7:20,10/1/2013,7:20:00,7:00:00,t,,,,,,,,,
46,10/1/2013 7:30,10/1/2013,7:30:00,7:00:00,t,,,,,,,,,
47,10/1/2013 7:40,10/1/2013,7:40:00,7:00:00,t,,,,,,,,,
48,10/1/2013 7:50,10/1/2013,7:50:00,7:00:00,t,64,3-Cloudy,3.5,-9999,10,-9999,f,f,f
49,10/1/2013 8:00,10/1/2013,8:00:00,8:00:00,t,,,,,,,,,
50,10/1/2013 8:10,10/1/2013,8:10:00,8:00:00,t,,,,,,,,,
51,10/1/2013 8:20,10/1/2013,8:20:00,8:00:00,t,,,,,,,,,
52,10/1/2013 8:30,10/1/2013,8:30:00,8:00:00,t,,,,,,,,,
53,10/1/2013 8:40,10/1/2013,8:40:00,8:00:00,f,,,,,,,,,
54,10/1/2013 8:50,10/1/2013,8:50:00,8:00:00,f,66,3-Cloudy,0,-9999,10,-9999,f,f,f
55,10/1/2013 9:00,10/1/2013,9:00:00,9:00:00,f,,,,,,,,,
56,10/1/2013 9:10,10/1/2013,9:10:00,9:00:00,f,,,,,,,,,
