Standardized Location,Location,Type,Start Time,Date,Time,Bucket Time,End Time,Duration (minutes),Latitude,Longitude,MM Matches,In/Out
14th St. Bridge,695 west,Incident,10/18/13 6:57,10/18/13,6:57:00 AM,7:00:00 AM,10/18/13 6:58,1,38.873974,-77.041504,No Match,OUT
14th St. Bridge,395 south,Incident,12/31/13 18:04,12/31/13,6:04:00 AM,6:00:00 AM,12/31/13 17:46,-20,38.877655,-77.041229,No Match,OUT
14th St. Bridge,14th street br north,Collision,3/21/14 17:13,3/21/14,5:13:00 AM,5:10:00 AM,3/21/14 17:14,1,38.877655,-77.038704,No Match,IN
14th St. Bridge,Major Crash at I-395 HOV LN in District Of Columbia County,Collision,3/14/14 21:36,3/14/14,9:36:00 AM,9:40:00 AM,3/14/14 22:55,90,38.876331,-77.041313,No Match,
14th St. Bridge,14th street bridge north,Incident,2/28/14 16:25,2/28/14,4:25:00 AM,4:30:00 AM,2/28/14 16:26,1,38.880119,-77.039024,No Match,IN
14th St. Bridge,14th street br north,Incident,2/18/14 18:49,2/18/14,6:49:00 AM,6:50:00 AM,2/18/14 18:51,2,38.880276,-77.0392,No Match,IN
14th St. Bridge,14th street bridge south,Incident,1/16/14 19:19,1/16/14,7:19:00 AM,7:20:00 AM,1/16/14 19:21,2,38.878151,-77.038704,No Match,OUT
14th St. Bridge,national mall exit north,Incident,1/16/14 18:45,1/16/14,6:45:00 AM,6:50:00 AM,1/16/14 18:46,1,38.874947,-77.043755,No Match,IN
14th St. Bridge,14th Street Bridge north,Incident,1/7/14 1:44,1/7/14,1:44:00 AM,1:40:00 AM,1/7/14 0:25,-90,38.877865,-77.039635,No Match,IN
14th St. Bridge,395 south,Incident,4/4/14 14:10,4/4/14,2:10:00 AM,2:10:00 AM,4/4/14 14:04,-7,38.876671,-77.040283,No Match,OUT
14th St. Bridge,395 north,Collision,7/3/14 18:26,7/3/14,6:26:00 AM,6:30:00 AM,7/3/14 18:33,8,38.876179,-77.039337,No Match,IN
14th St. Bridge,ohio dr,Collision,8/6/14 9:41,8/6/14,9:41:00 AM,9:40:00 AM,8/6/14 9:44,3,38.879326,-77.039017,No Match,
14th St. Bridge,395 south,Collision,8/22/14 14:04,8/22/14,2:04:00 AM,2:00:00 AM,8/22/14 14:05,1,38.877655,-77.040283,No Match,OUT
14th St. Bridge,14th street bridge north,Disabled Vehicle,8/27/14 18:38,8/27/14,6:38:00 AM,6:40:00 AM,8/27/14 18:40,2,38.873219,-77.041862,No Match,IN
14th St. Bridge,Case Bridge north,Disabled Vehicle,8/22/14 13:46,8/22/14,1:46:00 AM,1:50:00 AM,8/22/14 14:49,71,38.875931,-77.040596,No Match,IN
14th St. Bridge,395 south,Disabled Vehicle,7/3/14 15:04,7/3/14,3:04:00 AM,3:00:00 AM,7/3/14 15:05,1,38.875439,-77.042175,No Match,OUT
14th St. Bridge,695,Disabled Vehicle,8/5/14 14:34,8/5/14,2:34:00 AM,2:30:00 AM,8/5/14 14:35,1,38.879925,-77.040382,No Match,
14th St. Bridge,14th street bridge south,Disabled Vehicle,8/2/14 8:32,8/2/14,8:32:00 AM,8:30:00 AM,8/2/14 8:34,2,38.876648,-77.040573,No Match,OUT
14th St. Bridge,14th street bridge south,Disabled Vehicle,8/12/14 19:25,8/12/14,7:25:00 AM,7:30:00 AM,8/12/14 19:26,1,38.877472,-77.040764,No Match,OUT
14th St. Bridge,14th street bridge north,Disabled Vehicle,8/10/14 16:43,8/10/14,4:43:00 AM,4:40:00 AM,8/10/14 16:44,1,38.877808,-77.041191,No Match,IN
14th St. Bridge,sw freeway,Disabled Vehicle,7/30/14 10:58,7/30/14,10:58:00 AM,11:00:00 AM,7/30/14 11:00,2,38.877377,-77.038078,No Match,
14th St. Bridge,I-395 north,Collision,12/31/13 16:55,12/31/13,4:55:00 AM,5:00:00 AM,12/31/13 17:56,69,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Collision,11/1/13 14:15,11/1/13,2:15:00 AM,2:20:00 AM,11/1/13 14:47,36,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Collision,12/29/13 13:36,12/29/13,1:36:00 AM,1:40:00 AM,12/29/13 14:21,51,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Collision,10/31/13 9:25,10/31/13,9:25:00 AM,9:30:00 AM,10/31/13 10:24,67,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395S south @ MM 9.700,Collision,10/30/13 7:32,10/30/13,7:32:00 AM,7:30:00 AM,10/30/13 8:45,83,38.873734,-77.044266,No Match,OUT
14th St. Bridge,I-395N north @ MM 9.700,Collision,11/10/13 16:16,11/10/13,4:16:00 AM,4:20:00 AM,11/10/13 16:35,22,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395S south @ MM 9.700,Collision,12/20/13 21:14,12/20/13,9:14:00 AM,9:10:00 AM,12/20/13 21:41,31,38.873734,-77.044266,No Match,OUT
14th St. Bridge,I-395 north,Collision,10/4/13 16:00,10/4/13,4:00:00 AM,4:00:00 AM,10/4/13 16:18,20,38.873123,-77.043175,No Match,IN
