TMC_Crossing,Location,Type,Start_Time,End_Time,dur_mins,In_Out,Latitude,Longitude
14th_Main,695 west,Incident,10/18/2013 6:57,10/18/2013 6:58,1,OUT,38.873974,-77.041504
14th_Main,395 south,Incident,12/31/2013 18:04,12/31/2013 17:46,0,OUT,38.877655,-77.041229
14th_Main,14th street br north,Collision,3/21/2014 17:13,3/21/2014 17:14,1,IN,38.877655,-77.038704
14th_HOV,Major Crash at I-395 HOV LN in District Of Columbia County,Collision,3/14/2014 21:36,3/14/2014 22:55,79,,38.876331,-77.041313
14th_Main,14th street bridge north,Incident,2/28/2014 16:25,2/28/2014 16:26,1,IN,38.880119,-77.039024
14th_Main,14th street br north,Incident,2/18/2014 18:49,2/18/2014 18:51,2,IN,38.880276,-77.0392
14th_Main,14th street bridge south,Incident,1/16/2014 19:19,1/16/2014 19:21,2,OUT,38.878151,-77.038704
14th_Main,national mall exit north,Incident,1/16/2014 18:45,1/16/2014 18:46,1,IN,38.874947,-77.043755
14th_Main,14th Street Bridge north,Incident,1/7/2014 1:44,1/7/2014 0:25,0,IN,38.877865,-77.039635
14th_Main,395 south,Incident,4/4/2014 14:10,4/4/2014 14:04,0,OUT,38.876671,-77.040283
14th_Main,395 north,Collision,7/3/2014 18:26,7/3/2014 18:33,7,IN,38.876179,-77.039337
14th_Main,ohio dr,Collision,8/6/2014 9:41,8/6/2014 9:44,3,,38.879326,-77.039017
14th_Main,395 south,Collision,8/22/2014 14:04,8/22/2014 14:05,1,OUT,38.877655,-77.040283
14th_Main,14th street bridge north,Disabled Vehicle,8/27/2014 18:38,8/27/2014 18:40,2,IN,38.873219,-77.041862
14th_Main,Case Bridge north,Disabled Vehicle,8/22/2014 13:46,8/22/2014 14:49,63,IN,38.875931,-77.040596
14th_Main,395 south,Disabled Vehicle,7/3/2014 15:04,7/3/2014 15:05,1,OUT,38.875439,-77.042175
14th_Main,695,Disabled Vehicle,8/5/2014 14:34,8/5/2014 14:35,1,,38.879925,-77.040382
14th_Main,14th street bridge south,Disabled Vehicle,8/2/2014 8:32,8/2/2014 8:34,2,OUT,38.876648,-77.040573
14th_Main,14th street bridge south,Disabled Vehicle,8/12/2014 19:25,8/12/2014 19:26,1,OUT,38.877472,-77.040764
14th_Main,14th street bridge north,Disabled Vehicle,8/10/2014 16:43,8/10/2014 16:44,1,IN,38.877808,-77.041191
14th_Main,sw freeway,Disabled Vehicle,7/30/2014 10:58,7/30/2014 11:00,2,,38.877377,-77.038078
14th_Main,I-395 north,Collision,12/31/2013 16:55,12/31/2013 17:56,61,IN,38.873123,-77.043175
14th_Main,I-395N north @ MM 9.700,Collision,11/1/2013 14:15,11/1/2013 14:47,32,IN,38.87225,-77.04305
14th_Main,I-395 north,Collision,12/29/2013 13:36,12/29/2013 14:21,45,IN,38.873123,-77.043175
14th_Main,I-395 north,Collision,10/31/2013 9:25,10/31/2013 10:24,59,IN,38.873123,-77.043175
14th_Main,I-395S south @ MM 9.700,Collision,10/30/2013 7:32,10/30/2013 8:45,73,OUT,38.873734,-77.044266
14th_Main,I-395N north @ MM 9.700,Collision,11/10/2013 16:16,11/10/2013 16:35,19,IN,38.87225,-77.04305
14th_Main,I-395S south @ MM 9.700,Collision,12/20/2013 21:14,12/20/2013 21:41,27,OUT,38.873734,-77.044266
14th_Main,I-395 north,Collision,10/4/2013 16:00,10/4/2013 16:18,18,IN,38.873123,-77.043175
14th_Main,I-395S south @ MM 9.700,Collision,10/26/2013 22:35,10/27/2013 0:01,86,OUT,38.873734,-77.044266
14th_Main,I-395 north,Collision,11/14/2013 18:45,11/14/2013 18:50,5,IN,38.873123,-77.043175
14th_Main,I-395 north,Collision,11/14/2013 18:51,11/14/2013 19:41,50,IN,38.873123,-77.043175
14th_Main,I-395S south @ MM 9.700,Collision,12/19/2013 21:50,12/19/2013 22:49,59,OUT,38.873734,-77.044266
14th_Main,I-395N north @ MM 9.700,Collision,10/26/2013 19:00,10/26/2013 19:35,35,IN,38.87225,-77.04305
14th_Main,I-395 north,Collision,11/15/2013 14:10,11/15/2013 14:50,40,IN,38.873123,-77.043175
14th_Main,I-395 north,Collision,10/5/2013 8:02,10/5/2013 8:38,36,IN,38.873123,-77.043175
14th_Main,I-395 north,Collision,10/5/2013 17:09,10/5/2013 17:12,3,IN,38.873123,-77.043175
14th_Main,I-395 north,Collision,10/26/2013 5:39,10/26/2013 6:53,74,IN,38.873123,-77.043175
